Suburb,Price,Date,Dayofweek
Essendon West,1115000,30/07/2016,Saturday
Essendon West,820000,30/07/2016,Saturday
Kingsbury,705500,30/07/2016,Saturday
Kingsville,200000,30/07/2016,Saturday
Murrumbeena,745500,30/07/2016,Saturday
Murrumbeena,1260000,30/07/2016,Saturday
Ormond,450000,30/07/2016,Saturday
West Footscray,1030000,30/07/2016,Saturday
West Footscray,878000,30/07/2016,Saturday
Albion,460000,30/07/2016,Saturday
Albion,190000,30/07/2016,Saturday
Oakleigh,665000,30/07/2016,Saturday
Airport West,720000,6/08/2016,Saturday
Airport West,785000,6/08/2016,Saturday
Albert Park,1110000,6/08/2016,Saturday
Altona,630000,6/08/2016,Saturday
Altona,406000,6/08/2016,Saturday
Altona North,720000,6/08/2016,Saturday
Ascot Vale,1053000,6/08/2016,Saturday
Ascot Vale,1377000,6/08/2016,Saturday
Ashwood,1500000,6/08/2016,Saturday
Avondale Heights,680000,6/08/2016,Saturday
Bentleigh,360000,6/08/2016,Saturday
Bentleigh,1435000,6/08/2016,Saturday
Bentleigh,1110000,6/08/2016,Saturday
Bentleigh,2435000,6/08/2016,Saturday
Bentleigh East,1040000,6/08/2016,Saturday
Bentleigh East,1210000,6/08/2016,Saturday
Bentleigh East,1160000,6/08/2016,Saturday
Brighton,1761000,6/08/2016,Saturday
Brighton,2600000,6/08/2016,Saturday
Brighton,1302500,6/08/2016,Saturday
Brighton,1900000,6/08/2016,Saturday
Brighton East,1860000,6/08/2016,Saturday
Brighton East,1500000,6/08/2016,Saturday
Brighton East,870000,6/08/2016,Saturday
Brunswick,400000,6/08/2016,Saturday
Brunswick,950000,6/08/2016,Saturday
Bulleen,1127000,6/08/2016,Saturday
Bulleen,990000,6/08/2016,Saturday
Bulleen,1401000,6/08/2016,Saturday
Carlton North,1280000,6/08/2016,Saturday
Carnegie,360000,6/08/2016,Saturday
Carnegie,967500,6/08/2016,Saturday
Carnegie,1350000,6/08/2016,Saturday
Carnegie,516000,6/08/2016,Saturday
Carnegie,330000,6/08/2016,Saturday
Chadstone,1000000,6/08/2016,Saturday
Coburg,953000,6/08/2016,Saturday
Coburg,735000,6/08/2016,Saturday
Doncaster,1152000,6/08/2016,Saturday
Elsternwick,1440000,6/08/2016,Saturday
Elwood,550000,6/08/2016,Saturday
Essendon,1250000,6/08/2016,Saturday
Essendon North,393000,6/08/2016,Saturday
Fairfield,1064000,6/08/2016,Saturday
Fitzroy,810000,6/08/2016,Saturday
Fitzroy North,1008000,6/08/2016,Saturday
Footscray,480000,6/08/2016,Saturday
Footscray,357000,6/08/2016,Saturday
Footscray,910000,6/08/2016,Saturday
Glenroy,670000,6/08/2016,Saturday
Glenroy,430000,6/08/2016,Saturday
Glenroy,852500,6/08/2016,Saturday
Glenroy,1025000,6/08/2016,Saturday
Gowanbrae,504000,6/08/2016,Saturday
Hampton,760000,6/08/2016,Saturday
Hampton,616000,6/08/2016,Saturday
Hampton,1680000,6/08/2016,Saturday
Hampton,2520000,6/08/2016,Saturday
Hughesdale,1316000,6/08/2016,Saturday
Kealba,500000,6/08/2016,Saturday
Kensington,1291000,6/08/2016,Saturday
Kensington,420000,6/08/2016,Saturday
Malvern,2400000,6/08/2016,Saturday
Malvern East,1837000,6/08/2016,Saturday
Malvern East,1105000,6/08/2016,Saturday
Newport,655800,6/08/2016,Saturday
Newport,1082000,6/08/2016,Saturday
Newport,1210000,6/08/2016,Saturday
Northcote,583000,6/08/2016,Saturday
Oak Park,476000,6/08/2016,Saturday
Pascoe Vale,555000,6/08/2016,Saturday
Pascoe Vale,585000,6/08/2016,Saturday
Pascoe Vale,480000,6/08/2016,Saturday
Pascoe Vale,605000,6/08/2016,Saturday
Port Melbourne,795000,6/08/2016,Saturday
Port Melbourne,590000,6/08/2016,Saturday
Port Melbourne,1502000,6/08/2016,Saturday
Prahran,330000,6/08/2016,Saturday
Prahran,1430000,6/08/2016,Saturday
Prahran,325000,6/08/2016,Saturday
Prahran,1245000,6/08/2016,Saturday
Preston,840000,6/08/2016,Saturday
Preston,496000,6/08/2016,Saturday
Preston,931000,6/08/2016,Saturday
Preston,942000,6/08/2016,Saturday
Reservoir,800000,6/08/2016,Saturday
Reservoir,510000,6/08/2016,Saturday
Reservoir,651000,6/08/2016,Saturday
Reservoir,502500,6/08/2016,Saturday
Richmond,720000,6/08/2016,Saturday
Richmond,550000,6/08/2016,Saturday
Richmond,1152500,6/08/2016,Saturday
Richmond,1375000,6/08/2016,Saturday
Richmond,1422000,6/08/2016,Saturday
Seddon,450000,6/08/2016,Saturday
South Yarra,465000,6/08/2016,Saturday
South Yarra,801000,6/08/2016,Saturday
Southbank,650000,6/08/2016,Saturday
Spotswood,855000,6/08/2016,Saturday
St Kilda,875000,6/08/2016,Saturday
Strathmore,1015000,6/08/2016,Saturday
Sunshine,700000,6/08/2016,Saturday
Sunshine North,480000,6/08/2016,Saturday
Sunshine North,435000,6/08/2016,Saturday
Templestowe Lower,1200000,6/08/2016,Saturday
Templestowe Lower,990000,6/08/2016,Saturday
Toorak,925000,6/08/2016,Saturday
Toorak,450000,6/08/2016,Saturday
West Melbourne,800000,6/08/2016,Saturday
Windsor,600000,6/08/2016,Saturday
Yarraville,410000,6/08/2016,Saturday
Brunswick East,1815000,6/08/2016,Saturday
Kingsville,817000,6/08/2016,Saturday
Kingsville,1035000,6/08/2016,Saturday
Murrumbeena,740000,6/08/2016,Saturday
Ormond,1256000,6/08/2016,Saturday
Ormond,1918000,6/08/2016,Saturday
Ormond,900000,6/08/2016,Saturday
Cremorne,425000,6/08/2016,Saturday
South Kingsville,650000,6/08/2016,Saturday
Caulfield East,1650000,6/08/2016,Saturday
Seaholme,860000,6/08/2016,Saturday
Abbotsford,1172500,13/08/2016,Saturday
Airport West,440000,13/08/2016,Saturday
Altona,730000,13/08/2016,Saturday
Ascot Vale,1425000,13/08/2016,Saturday
Ashwood,1415000,13/08/2016,Saturday
Bentleigh,725000,13/08/2016,Saturday
Bentleigh East,1307000,13/08/2016,Saturday
Bentleigh East,1010000,13/08/2016,Saturday
Bentleigh East,702000,13/08/2016,Saturday
Bentleigh East,813000,13/08/2016,Saturday
Box Hill,465000,13/08/2016,Saturday
Braybrook,670000,13/08/2016,Saturday
Brighton,1875000,13/08/2016,Saturday
Brighton,2400000,13/08/2016,Saturday
Brighton,1266000,13/08/2016,Saturday
Brighton East,1915000,13/08/2016,Saturday
Brighton East,1650000,13/08/2016,Saturday
Brunswick,1358000,13/08/2016,Saturday
Brunswick,840000,13/08/2016,Saturday
Brunswick,685000,13/08/2016,Saturday
Brunswick,600000,13/08/2016,Saturday
Brunswick,940000,13/08/2016,Saturday
Burwood,900000,13/08/2016,Saturday
Carnegie,707000,13/08/2016,Saturday
Carnegie,804000,13/08/2016,Saturday
Caulfield North,520500,13/08/2016,Saturday
Caulfield South,1450000,13/08/2016,Saturday
Chadstone,1002000,13/08/2016,Saturday
Clifton Hill,495000,13/08/2016,Saturday
Clifton Hill,325000,13/08/2016,Saturday
Clifton Hill,1370000,13/08/2016,Saturday
Coburg,657000,13/08/2016,Saturday
Coburg North,707000,13/08/2016,Saturday
Collingwood,457000,13/08/2016,Saturday
Doncaster,1310000,13/08/2016,Saturday
Doncaster,753000,13/08/2016,Saturday
Elsternwick,2600000,13/08/2016,Saturday
Elwood,1015000,13/08/2016,Saturday
Essendon,650000,13/08/2016,Saturday
Fitzroy,880000,13/08/2016,Saturday
Fitzroy,3310000,13/08/2016,Saturday
Fitzroy,1481000,13/08/2016,Saturday
Flemington,1012000,13/08/2016,Saturday
Flemington,885000,13/08/2016,Saturday
Flemington,1315000,13/08/2016,Saturday
Footscray,1100000,13/08/2016,Saturday
Footscray,932000,13/08/2016,Saturday
Hadfield,777000,13/08/2016,Saturday
Hadfield,722000,13/08/2016,Saturday
Hampton,786000,13/08/2016,Saturday
Hampton East,1255000,13/08/2016,Saturday
Hughesdale,900000,13/08/2016,Saturday
Keilor East,470000,13/08/2016,Saturday
Kensington,1234500,13/08/2016,Saturday
Kensington,666000,13/08/2016,Saturday
Maidstone,646000,13/08/2016,Saturday
Malvern,3800000,13/08/2016,Saturday
Malvern East,2305000,13/08/2016,Saturday
Melbourne,432000,13/08/2016,Saturday
Melbourne,400000,13/08/2016,Saturday
Melbourne,210000,13/08/2016,Saturday
Middle Park,1690000,13/08/2016,Saturday
Moonee Ponds,1100000,13/08/2016,Saturday
Niddrie,840000,13/08/2016,Saturday
Niddrie,975000,13/08/2016,Saturday
North Melbourne,1385000,13/08/2016,Saturday
Northcote,2175000,13/08/2016,Saturday
Northcote,1085000,13/08/2016,Saturday
Oak Park,727500,13/08/2016,Saturday
Pascoe Vale,500000,13/08/2016,Saturday
Pascoe Vale,485000,13/08/2016,Saturday
Preston,722000,13/08/2016,Saturday
Reservoir,452000,13/08/2016,Saturday
Reservoir,335000,13/08/2016,Saturday
Reservoir,585000,13/08/2016,Saturday
Reservoir,360000,13/08/2016,Saturday
Reservoir,380000,13/08/2016,Saturday
Reservoir,546000,13/08/2016,Saturday
Reservoir,400000,13/08/2016,Saturday
Reservoir,1700000,13/08/2016,Saturday
Richmond,391000,13/08/2016,Saturday
Richmond,1035000,13/08/2016,Saturday
Richmond,530000,13/08/2016,Saturday
South Melbourne,1200000,13/08/2016,Saturday
South Yarra,1036500,13/08/2016,Saturday
South Yarra,627500,13/08/2016,Saturday
South Yarra,1072000,13/08/2016,Saturday
South Yarra,425000,13/08/2016,Saturday
St Kilda,540000,13/08/2016,Saturday
St Kilda,475000,13/08/2016,Saturday
St Kilda,335000,13/08/2016,Saturday
Sunshine,675000,13/08/2016,Saturday
Sunshine West,510000,13/08/2016,Saturday
Templestowe Lower,1000000,13/08/2016,Saturday
Thornbury,701000,13/08/2016,Saturday
Toorak,4000000,13/08/2016,Saturday
Williamstown,1010000,13/08/2016,Saturday
Williamstown North,881000,13/08/2016,Saturday
Windsor,450000,13/08/2016,Saturday
Yarraville,850000,13/08/2016,Saturday
Yarraville,501344,13/08/2016,Saturday
Carlton,435000,13/08/2016,Saturday
Murrumbeena,785000,13/08/2016,Saturday
Murrumbeena,1420000,13/08/2016,Saturday
West Footscray,756000,13/08/2016,Saturday
Docklands,1370000,13/08/2016,Saturday
Travancore,1257000,13/08/2016,Saturday
Abbotsford,426000,22/08/2016,Monday
Abbotsford,1447500,22/08/2016,Monday
Abbotsford,457000,22/08/2016,Monday
Abbotsford,1135000,22/08/2016,Monday
Airport West,805000,22/08/2016,Monday
Airport West,510000,22/08/2016,Monday
Airport West,612000,22/08/2016,Monday
Altona,880000,22/08/2016,Monday
Altona North,620000,22/08/2016,Monday
Altona North,728500,22/08/2016,Monday
Altona North,931000,22/08/2016,Monday
Altona North,988000,22/08/2016,Monday
Armadale,315000,22/08/2016,Monday
Ashwood,700000,22/08/2016,Monday
Bentleigh,1430000,22/08/2016,Monday
Bentleigh,910000,22/08/2016,Monday
Bentleigh,2520000,22/08/2016,Monday
Bentleigh East,1698888,22/08/2016,Monday
Bentleigh East,1150000,22/08/2016,Monday
Bentleigh East,340000,22/08/2016,Monday
Braybrook,510000,22/08/2016,Monday
Brighton,1532000,22/08/2016,Monday
Brighton,1250000,22/08/2016,Monday
Brighton,835000,22/08/2016,Monday
Brunswick,860000,22/08/2016,Monday
Brunswick,440000,22/08/2016,Monday
Brunswick,860000,22/08/2016,Monday
Brunswick West,1200000,22/08/2016,Monday
Brunswick West,537000,22/08/2016,Monday
Brunswick West,910000,22/08/2016,Monday
Brunswick West,285000,22/08/2016,Monday
Brunswick West,921500,22/08/2016,Monday
Bulleen,990000,22/08/2016,Monday
Carlton North,1280000,22/08/2016,Monday
Carnegie,983500,22/08/2016,Monday
Carnegie,1490000,22/08/2016,Monday
Carnegie,572000,22/08/2016,Monday
Caulfield South,1115000,22/08/2016,Monday
Coburg,1130000,22/08/2016,Monday
Coburg,598000,22/08/2016,Monday
Coburg,1120000,22/08/2016,Monday
Coburg,870000,22/08/2016,Monday
Coburg North,530000,22/08/2016,Monday
Collingwood,713500,22/08/2016,Monday
Collingwood,1500000,22/08/2016,Monday
Doncaster,1474000,22/08/2016,Monday
Doncaster,800000,22/08/2016,Monday
Elsternwick,1450000,22/08/2016,Monday
Elsternwick,500000,22/08/2016,Monday
Elsternwick,2600000,22/08/2016,Monday
Essendon,457000,22/08/2016,Monday
Essendon,1460000,22/08/2016,Monday
Essendon North,1605000,22/08/2016,Monday
Essendon North,712000,22/08/2016,Monday
Fairfield,1010000,22/08/2016,Monday
Fitzroy,790000,22/08/2016,Monday
Fitzroy,1122000,22/08/2016,Monday
Footscray,699000,22/08/2016,Monday
Footscray,835000,22/08/2016,Monday
Footscray,661000,22/08/2016,Monday
Footscray,757500,22/08/2016,Monday
Glenroy,550000,22/08/2016,Monday
Glenroy,460000,22/08/2016,Monday
Hampton East,1150000,22/08/2016,Monday
Hughesdale,1210000,22/08/2016,Monday
Kealba,500000,22/08/2016,Monday
Keilor East,830000,22/08/2016,Monday
Keilor East,600000,22/08/2016,Monday
Kensington,526000,22/08/2016,Monday
Kensington,790000,22/08/2016,Monday
Kensington,1365000,22/08/2016,Monday
Kensington,700000,22/08/2016,Monday
Kensington,370000,22/08/2016,Monday
Kensington,1230000,22/08/2016,Monday
Maidstone,510000,22/08/2016,Monday
Maidstone,725500,22/08/2016,Monday
Maidstone,746000,22/08/2016,Monday
Malvern,1326000,22/08/2016,Monday
Malvern,4525000,22/08/2016,Monday
Malvern East,1420000,22/08/2016,Monday
Malvern East,1370000,22/08/2016,Monday
Malvern East,1680000,22/08/2016,Monday
Malvern East,2960000,22/08/2016,Monday
Malvern East,2110000,22/08/2016,Monday
Malvern East,1300000,22/08/2016,Monday
Malvern East,1750000,22/08/2016,Monday
Maribyrnong,440000,22/08/2016,Monday
Melbourne,440000,22/08/2016,Monday
Newport,891500,22/08/2016,Monday
Newport,3420000,22/08/2016,Monday
Niddrie,1015000,22/08/2016,Monday
Niddrie,875000,22/08/2016,Monday
North Melbourne,540000,22/08/2016,Monday
Northcote,1095000,22/08/2016,Monday
Northcote,1121000,22/08/2016,Monday
Oak Park,810000,22/08/2016,Monday
Parkville,1851000,22/08/2016,Monday
Parkville,734600,22/08/2016,Monday
Pascoe Vale,610000,22/08/2016,Monday
Pascoe Vale,1000000,22/08/2016,Monday
Pascoe Vale,533000,22/08/2016,Monday
Port Melbourne,470000,22/08/2016,Monday
Port Melbourne,600000,22/08/2016,Monday
Port Melbourne,670000,22/08/2016,Monday
Port Melbourne,1100000,22/08/2016,Monday
Prahran,1811000,22/08/2016,Monday
Preston,850000,22/08/2016,Monday
Preston,890000,22/08/2016,Monday
Preston,1088000,22/08/2016,Monday
Preston,1123000,22/08/2016,Monday
Reservoir,300000,22/08/2016,Monday
Reservoir,335000,22/08/2016,Monday
Reservoir,670500,22/08/2016,Monday
Reservoir,1050000,22/08/2016,Monday
Reservoir,475000,22/08/2016,Monday
Reservoir,440000,22/08/2016,Monday
Reservoir,851500,22/08/2016,Monday
Reservoir,623500,22/08/2016,Monday
Reservoir,830000,22/08/2016,Monday
Richmond,1645000,22/08/2016,Monday
Richmond,945000,22/08/2016,Monday
Richmond,306000,22/08/2016,Monday
Richmond,1270000,22/08/2016,Monday
Richmond,975000,22/08/2016,Monday
Richmond,1105000,22/08/2016,Monday
Richmond,965000,22/08/2016,Monday
Richmond,620000,22/08/2016,Monday
Richmond,1100000,22/08/2016,Monday
Richmond,450000,22/08/2016,Monday
Richmond,1850000,22/08/2016,Monday
Seddon,533000,22/08/2016,Monday
Seddon,1200000,22/08/2016,Monday
South Yarra,1130000,22/08/2016,Monday
South Yarra,500000,22/08/2016,Monday
St Kilda,1250000,22/08/2016,Monday
St Kilda,360000,22/08/2016,Monday
St Kilda,450000,22/08/2016,Monday
Sunshine,625000,22/08/2016,Monday
Sunshine,695000,22/08/2016,Monday
Sunshine North,710000,22/08/2016,Monday
Sunshine West,555000,22/08/2016,Monday
Sunshine West,587000,22/08/2016,Monday
Sunshine West,600000,22/08/2016,Monday
Templestowe Lower,920000,22/08/2016,Monday
Thornbury,450000,22/08/2016,Monday
Thornbury,900000,22/08/2016,Monday
Thornbury,1620000,22/08/2016,Monday
Thornbury,438000,22/08/2016,Monday
Thornbury,1143000,22/08/2016,Monday
Toorak,857000,22/08/2016,Monday
Windsor,623000,22/08/2016,Monday
Yarraville,925000,22/08/2016,Monday
Carlton,1550000,22/08/2016,Monday
East Melbourne,700000,22/08/2016,Monday
Essendon West,810000,22/08/2016,Monday
Murrumbeena,1300000,22/08/2016,Monday
Murrumbeena,835000,22/08/2016,Monday
Albion,185000,22/08/2016,Monday
Glen Huntly,2575000,22/08/2016,Monday
Strathmore Heights,780000,22/08/2016,Monday
Albert Park,2030000,28/08/2016,Sunday
Albert Park,1740000,28/08/2016,Sunday
Alphington,1485000,28/08/2016,Sunday
Altona,740000,28/08/2016,Sunday
Altona,931000,28/08/2016,Sunday
Altona North,292000,28/08/2016,Sunday
Armadale,2810000,28/08/2016,Sunday
Armadale,565000,28/08/2016,Sunday
Armadale,567000,28/08/2016,Sunday
Ascot Vale,965000,28/08/2016,Sunday
Ascot Vale,1215000,28/08/2016,Sunday
Ascot Vale,545000,28/08/2016,Sunday
Ashwood,830000,28/08/2016,Sunday
Avondale Heights,642000,28/08/2016,Sunday
Avondale Heights,863000,28/08/2016,Sunday
Avondale Heights,740000,28/08/2016,Sunday
Balaclava,497500,28/08/2016,Sunday
Bentleigh,1535000,28/08/2016,Sunday
Bentleigh,1281000,28/08/2016,Sunday
Bentleigh,1096000,28/08/2016,Sunday
Bentleigh,1385000,28/08/2016,Sunday
Bentleigh,517500,28/08/2016,Sunday
Bentleigh,1245000,28/08/2016,Sunday
Bentleigh,503000,28/08/2016,Sunday
Bentleigh,2620000,28/08/2016,Sunday
Bentleigh East,780000,28/08/2016,Sunday
Bentleigh East,1015000,28/08/2016,Sunday
Bentleigh East,830000,28/08/2016,Sunday
Bentleigh East,1241000,28/08/2016,Sunday
Bentleigh East,1255000,28/08/2016,Sunday
Bentleigh East,1320000,28/08/2016,Sunday
Bentleigh East,870000,28/08/2016,Sunday
Bentleigh East,1472500,28/08/2016,Sunday
Box Hill,560000,28/08/2016,Sunday
Braybrook,697500,28/08/2016,Sunday
Brighton,1352500,28/08/2016,Sunday
Brighton,2030000,28/08/2016,Sunday
Brighton,3105000,28/08/2016,Sunday
Brighton,1171000,28/08/2016,Sunday
Brighton,1400000,28/08/2016,Sunday
Brighton East,1420000,28/08/2016,Sunday
Brunswick,772000,28/08/2016,Sunday
Brunswick,1210000,28/08/2016,Sunday
Brunswick,1755000,28/08/2016,Sunday
Brunswick,1073000,28/08/2016,Sunday
Brunswick,1080000,28/08/2016,Sunday
Brunswick West,440000,28/08/2016,Sunday
Brunswick West,816000,28/08/2016,Sunday
Burwood,702000,28/08/2016,Sunday
Carnegie,468250,28/08/2016,Sunday
Carnegie,1716000,28/08/2016,Sunday
Caulfield North,2170000,28/08/2016,Sunday
Caulfield South,500000,28/08/2016,Sunday
Chadstone,881000,28/08/2016,Sunday
Clifton Hill,640000,28/08/2016,Sunday
Coburg,241000,28/08/2016,Sunday
Coburg,1331000,28/08/2016,Sunday
Coburg,1007000,28/08/2016,Sunday
Coburg,981000,28/08/2016,Sunday
Coburg,570000,28/08/2016,Sunday
Coburg,500000,28/08/2016,Sunday
Doncaster,826000,28/08/2016,Sunday
Doncaster,900000,28/08/2016,Sunday
Doncaster,888000,28/08/2016,Sunday
Elwood,572500,28/08/2016,Sunday
Elwood,1925000,28/08/2016,Sunday
Essendon,1290000,28/08/2016,Sunday
Essendon,953000,28/08/2016,Sunday
Essendon,1100000,28/08/2016,Sunday
Essendon,820000,28/08/2016,Sunday
Essendon,1270000,28/08/2016,Sunday
Essendon,1445000,28/08/2016,Sunday
Essendon,1113000,28/08/2016,Sunday
Essendon,370000,28/08/2016,Sunday
Fairfield,545000,28/08/2016,Sunday
Fairfield,1145000,28/08/2016,Sunday
Fairfield,1375000,28/08/2016,Sunday
Fitzroy North,602000,28/08/2016,Sunday
Fitzroy North,650000,28/08/2016,Sunday
Fitzroy North,1283000,28/08/2016,Sunday
Fitzroy North,1450000,28/08/2016,Sunday
Fitzroy North,1325000,28/08/2016,Sunday
Footscray,757000,28/08/2016,Sunday
Footscray,1450000,28/08/2016,Sunday
Glenroy,660000,28/08/2016,Sunday
Glenroy,722000,28/08/2016,Sunday
Hampton,1800000,28/08/2016,Sunday
Hampton,2439500,28/08/2016,Sunday
Hampton,2250000,28/08/2016,Sunday
Hampton East,1416000,28/08/2016,Sunday
Hampton East,1200000,28/08/2016,Sunday
Hampton East,865000,28/08/2016,Sunday
Hughesdale,1322000,28/08/2016,Sunday
Keilor East,710000,28/08/2016,Sunday
Keilor East,732000,28/08/2016,Sunday
Kensington,786000,28/08/2016,Sunday
Maidstone,865000,28/08/2016,Sunday
Maidstone,600000,28/08/2016,Sunday
Malvern,584000,28/08/2016,Sunday
Malvern,420000,28/08/2016,Sunday
Malvern East,1550000,28/08/2016,Sunday
Malvern East,950000,28/08/2016,Sunday
Malvern East,1782500,28/08/2016,Sunday
Maribyrnong,1230000,28/08/2016,Sunday
Melbourne,360000,28/08/2016,Sunday
Middle Park,1910000,28/08/2016,Sunday
Moonee Ponds,930000,28/08/2016,Sunday
Moonee Ponds,800000,28/08/2016,Sunday
Moonee Ponds,1111000,28/08/2016,Sunday
Moonee Ponds,900000,28/08/2016,Sunday
Moonee Ponds,822500,28/08/2016,Sunday
Moonee Ponds,1400000,28/08/2016,Sunday
Moonee Ponds,336000,28/08/2016,Sunday
Newport,643700,28/08/2016,Sunday
Newport,760000,28/08/2016,Sunday
North Melbourne,885000,28/08/2016,Sunday
North Melbourne,587134,28/08/2016,Sunday
Northcote,1080000,28/08/2016,Sunday
Northcote,570000,28/08/2016,Sunday
Northcote,1450000,28/08/2016,Sunday
Northcote,1400000,28/08/2016,Sunday
Northcote,1340000,28/08/2016,Sunday
Northcote,340000,28/08/2016,Sunday
Northcote,1300000,28/08/2016,Sunday
Northcote,2340000,28/08/2016,Sunday
Northcote,1634000,28/08/2016,Sunday
Oak Park,855333,28/08/2016,Sunday
Parkville,965000,28/08/2016,Sunday
Parkville,1040000,28/08/2016,Sunday
Pascoe Vale,248500,28/08/2016,Sunday
Pascoe Vale,960000,28/08/2016,Sunday
Pascoe Vale,1085000,28/08/2016,Sunday
Pascoe Vale,650000,28/08/2016,Sunday
Prahran,1021000,28/08/2016,Sunday
Prahran,1220000,28/08/2016,Sunday
Prahran,240000,28/08/2016,Sunday
Preston,610000,28/08/2016,Sunday
Preston,1162500,28/08/2016,Sunday
Preston,1142500,28/08/2016,Sunday
Preston,930000,28/08/2016,Sunday
Preston,875000,28/08/2016,Sunday
Reservoir,810000,28/08/2016,Sunday
Reservoir,610000,28/08/2016,Sunday
Reservoir,430000,28/08/2016,Sunday
Reservoir,730000,28/08/2016,Sunday
Reservoir,680000,28/08/2016,Sunday
Richmond,1165000,28/08/2016,Sunday
Richmond,790000,28/08/2016,Sunday
Richmond,870000,28/08/2016,Sunday
Seddon,1310000,28/08/2016,Sunday
South Yarra,826000,28/08/2016,Sunday
South Yarra,910000,28/08/2016,Sunday
South Yarra,1715000,28/08/2016,Sunday
South Yarra,1700000,28/08/2016,Sunday
Spotswood,871500,28/08/2016,Sunday
St Kilda,1225000,28/08/2016,Sunday
St Kilda,400000,28/08/2016,Sunday
St Kilda,435000,28/08/2016,Sunday
Strathmore,600000,28/08/2016,Sunday
Sunshine,711000,28/08/2016,Sunday
Sunshine North,650000,28/08/2016,Sunday
Sunshine North,871000,28/08/2016,Sunday
Sunshine West,715000,28/08/2016,Sunday
Sunshine West,545000,28/08/2016,Sunday
Sunshine West,750500,28/08/2016,Sunday
Templestowe Lower,1358500,28/08/2016,Sunday
Thornbury,1430000,28/08/2016,Sunday
Thornbury,1380000,28/08/2016,Sunday
Toorak,3270000,28/08/2016,Sunday
Windsor,555000,28/08/2016,Sunday
Windsor,474000,28/08/2016,Sunday
Windsor,1350000,28/08/2016,Sunday
Windsor,1910000,28/08/2016,Sunday
Yarraville,840000,28/08/2016,Sunday
Yarraville,900500,28/08/2016,Sunday
Yarraville,850000,28/08/2016,Sunday
Yarraville,940000,28/08/2016,Sunday
Carlton,2345000,28/08/2016,Sunday
Carlton,1117000,28/08/2016,Sunday
East Melbourne,765000,28/08/2016,Sunday
Kingsbury,607500,28/08/2016,Sunday
Murrumbeena,435000,28/08/2016,Sunday
Murrumbeena,1641000,28/08/2016,Sunday
Ormond,2050000,28/08/2016,Sunday
Ormond,405000,28/08/2016,Sunday
West Footscray,420000,28/08/2016,Sunday
West Footscray,820000,28/08/2016,Sunday
Brooklyn,892000,28/08/2016,Sunday
South Kingsville,380000,28/08/2016,Sunday
South Kingsville,611000,28/08/2016,Sunday
Gardenvale,2200000,28/08/2016,Sunday
Airport West,840000,3/09/2016,Saturday
Albert Park,1275000,3/09/2016,Saturday
Albert Park,1455000,3/09/2016,Saturday
Alphington,2000000,3/09/2016,Saturday
Alphington,1110000,3/09/2016,Saturday
Altona,520000,3/09/2016,Saturday
Altona North,1085000,3/09/2016,Saturday
Altona North,781000,3/09/2016,Saturday
Armadale,599000,3/09/2016,Saturday
Ascot Vale,455000,3/09/2016,Saturday
Ashwood,995000,3/09/2016,Saturday
Avondale Heights,850000,3/09/2016,Saturday
Avondale Heights,750000,3/09/2016,Saturday
Balaclava,1819000,3/09/2016,Saturday
Bentleigh,636000,3/09/2016,Saturday
Bentleigh,1275000,3/09/2016,Saturday
Bentleigh,875000,3/09/2016,Saturday
Bentleigh,895000,3/09/2016,Saturday
Bentleigh East,1410000,3/09/2016,Saturday
Bentleigh East,760000,3/09/2016,Saturday
Bentleigh East,825000,3/09/2016,Saturday
Box Hill,1620000,3/09/2016,Saturday
Braybrook,870000,3/09/2016,Saturday
Braybrook,645000,3/09/2016,Saturday
Brighton,1550000,3/09/2016,Saturday
Brighton,1635000,3/09/2016,Saturday
Brighton East,1940000,3/09/2016,Saturday
Brighton East,1850000,3/09/2016,Saturday
Brighton East,930000,3/09/2016,Saturday
Brunswick,428000,3/09/2016,Saturday
Brunswick,1026000,3/09/2016,Saturday
Brunswick West,521500,3/09/2016,Saturday
Bulleen,851000,3/09/2016,Saturday
Bulleen,1300000,3/09/2016,Saturday
Bulleen,1110000,3/09/2016,Saturday
Bulleen,1235000,3/09/2016,Saturday
Burwood,1590000,3/09/2016,Saturday
Carlton North,1330000,3/09/2016,Saturday
Carnegie,820000,3/09/2016,Saturday
Carnegie,795000,3/09/2016,Saturday
Caulfield,722500,3/09/2016,Saturday
Caulfield North,1365000,3/09/2016,Saturday
Caulfield North,1750000,3/09/2016,Saturday
Caulfield South,1577500,3/09/2016,Saturday
Chadstone,752000,3/09/2016,Saturday
Clifton Hill,1270000,3/09/2016,Saturday
Coburg,850000,3/09/2016,Saturday
Coburg,784000,3/09/2016,Saturday
Collingwood,750000,3/09/2016,Saturday
Collingwood,890000,3/09/2016,Saturday
Collingwood,1260000,3/09/2016,Saturday
Collingwood,855000,3/09/2016,Saturday
Doncaster,1924500,3/09/2016,Saturday
Doncaster,492500,3/09/2016,Saturday
Elsternwick,900000,3/09/2016,Saturday
Elwood,520000,3/09/2016,Saturday
Elwood,1350000,3/09/2016,Saturday
Essendon,1425000,3/09/2016,Saturday
Essendon,660000,3/09/2016,Saturday
Essendon,550000,3/09/2016,Saturday
Essendon North,396000,3/09/2016,Saturday
Fairfield,1250000,3/09/2016,Saturday
Fitzroy,1000000,3/09/2016,Saturday
Fitzroy,1252000,3/09/2016,Saturday
Fitzroy North,700000,3/09/2016,Saturday
Fitzroy North,860000,3/09/2016,Saturday
