Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance
Glenroy,3/48 William St,2,h,417000,S,27/11/2016,13,3046,2,1,1,172,77,2013,Moreland City Council,-37.7074,144.9086,Northern Metropolitan,8870,8,2424.418605,5415.584416,208500,32076.92308
Glenroy,1/26 York St,3,t,600000,VB,27/11/2016,13,3046,3,1,2,258,143,2001,Moreland City Council,-37.7047,144.9087,Northern Metropolitan,8870,20,2325.581395,4195.804196,200000,46153.84615
Hadfield,3 Charles St,3,h,1102000,S,27/11/2016,12.1,3046,3,1,2,1020,,,Moreland City Council,-37.709,144.9434,Northern Metropolitan,2606, ,1080.392157, ,367333.3333,91074.38017
Hadfield,25 East St,2,h,515000,S,27/11/2016,12.1,3046,2,1,2,345,79,1990,Moreland City Council,-37.7128,144.9496,Northern Metropolitan,2606,31,1492.753623,6518.987342,257500,42561.98347
Hadfield,14 Sutherland St,3,h,716000,S,27/11/2016,12.1,3046,3,1,2,594,,,Moreland City Council,-37.709,144.9483,Northern Metropolitan,2606, ,1205.387205, ,238666.6667,59173.55372
Hadfield,38 Tassell St,2,h,640000,SP,27/11/2016,12.1,3046,2,1,1,612,,,Moreland City Council,-37.7109,144.9389,Northern Metropolitan,2606, ,1045.751634, ,320000,52892.56198
Hadfield,21 Volga St,2,h,460000,S,27/11/2016,12.1,3046,2,1,4,360,,,Moreland City Council,-37.7074,144.9407,Northern Metropolitan,2606, ,1277.777778, ,230000,38016.52893
Hampton,1/514 Bluff Rd,3,t,820000,VB,27/11/2016,13.7,3188,3,2,2,0,,,Bayside City Council,-37.9368,145.0242,Southern Metropolitan,5454, , , ,273333.3333,59854.0146
Hampton,91A Linacre Rd,2,t,915500,S,27/11/2016,13.7,3188,2,2,1,0,148,,Bayside City Council,-37.9431,145.0118,Southern Metropolitan,5454, , ,6185.810811,457750,66824.81752
Hampton,49 Service St,4,h,1740000,S,27/11/2016,13.7,3188,4,3,2,414,209,1950,Bayside City Council,-37.9401,145.0083,Southern Metropolitan,5454,71,4202.898551,8325.358852,435000,127007.2993
Hampton,136 Thomas St,1,h,2450000,S,27/11/2016,13.7,3188,1,2,0,994,,,Bayside City Council,-37.94,145.0151,Southern Metropolitan,5454, ,2464.788732, ,2450000,178832.1168
Hampton East,2 Harry St,3,h,1195000,S,27/11/2016,14.5,3188,3,1,2,601,,,Bayside City Council,-37.9386,145.0317,Southern Metropolitan,2356, ,1988.352745, ,398333.3333,82413.7931
Keilor East,92A Brees Rd,3,t,660000,PI,27/11/2016,12.8,3033,3,2,1,265,,,Brimbank City Council,-37.7444,144.8763,Western Metropolitan,5629, ,2490.566038, ,220000,51562.5
Keilor East,35/24 Craig St,3,h,650000,S,27/11/2016,12.8,3033,3,2,2,176,,,Brimbank City Council,-37.7432,144.8816,Western Metropolitan,5629, ,3693.181818, ,216666.6667,50781.25
Keilor East,61 Nyah St,3,h,900000,S,27/11/2016,12.8,3033,3,1,2,600,,,Brimbank City Council,-37.7312,144.8685,Western Metropolitan,5629, ,1500, ,300000,70312.5
Keilor East,5 Viewbank Dr,3,h,823000,S,27/11/2016,12.8,3033,3,1,2,538,,,Brimbank City Council,-37.7486,144.8778,Western Metropolitan,5629, ,1529.739777, ,274333.3333,64296.875
Kensington,301/84 Altona St,2,u,425000,S,27/11/2016,4.2,3031,2,1,1,0,59,2006,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263,15, ,7203.389831,212500,101190.4762
Kensington,68 Hardiman St,2,h,1211000,SP,27/11/2016,4.2,3031,2,1,1,183,,,Melbourne City Council,-37.7959,144.9342,Northern Metropolitan,5263, ,6617.486339, ,605500,288333.3333
Kensington,8/37 Kensington Rd,2,u,506000,SP,27/11/2016,4.2,3031,2,1,1,0,,,Melbourne City Council,-37.7952,144.9262,Northern Metropolitan,5263, , , ,253000,120476.1905
Maidstone,14 Madden St,2,h,830000,S,27/11/2016,9.2,3012,2,1,2,318,,,Maribyrnong City Council,-37.7898,144.8817,Western Metropolitan,3873, ,2610.062893, ,415000,90217.3913
Malvern,11 Childers Rd,2,h,1475000,S,27/11/2016,7.4,3144,2,1,1,232,95,2001,Stonnington City Council,-37.8686,145.038,Southern Metropolitan,4675,20,6357.758621,15526.31579,737500,199324.3243
Malvern,122/14 Elizabeth St,2,u,640000,PI,27/11/2016,7.4,3144,2,2,1,0,,,Stonnington City Council,-37.8514,145.0361,Southern Metropolitan,4675, , , ,320000,86486.48649
Malvern,3/3 Irving St,2,u,700000,VB,27/11/2016,7.4,3144,2,1,2,0,,1998,Stonnington City Council,-37.8597,145.0318,Southern Metropolitan,4675,23, , ,350000,94594.59459
Malvern East,5/80 Burke Rd,1,u,315000,S,27/11/2016,11.2,3145,1,1,1,0,46,1940,Stonnington City Council,-37.8704,145.0495,Southern Metropolitan,8801,81, ,6847.826087,315000,28125
Malvern East,22 Ellison St,3,h,1297000,S,27/11/2016,11.2,3145,3,1,1,333,147,1948,Stonnington City Council,-37.8722,145.067,Southern Metropolitan,8801,73,3894.894895,8823.129252,432333.3333,115803.5714
Malvern East,10/1810 Malvern Rd,3,t,1015000,S,27/11/2016,11.2,3145,3,2,2,0,134,2013,Stonnington City Council,-37.8689,145.06,Southern Metropolitan,8801,8, ,7574.626866,338333.3333,90625
Malvern East,3/5 Peak St,2,u,523000,S,27/11/2016,11.2,3145,2,1,1,0,62,1960,Stonnington City Council,-37.8801,145.0874,Southern Metropolitan,8801,61, ,8435.483871,261500,46696.42857
Malvern East,15 Prior Rd,3,h,1335000,S,27/11/2016,11.2,3145,3,2,2,606,133,1965,Stonnington City Council,-37.8831,145.0879,Southern Metropolitan,8801,56,2202.970297,10037.59398,445000,119196.4286
Malvern East,3/100 Tooronga Rd,3,h,1055000,PI,27/11/2016,11.2,3145,3,2,1,0,,,Stonnington City Council,-37.866,145.0402,Southern Metropolitan,8801, , , ,351666.6667,94196.42857
Malvern East,15/5 Warley Rd,2,u,425000,SP,27/11/2016,11.2,3145,2,1,1,0,57,1997,Stonnington City Council,-37.8804,145.0501,Southern Metropolitan,8801,24, ,7456.140351,212500,37946.42857
Malvern East,1/380 Waverley Rd,3,h,1670000,S,27/11/2016,11.2,3145,3,2,1,375,155,1920,Stonnington City Council,-37.8777,145.0608,Southern Metropolitan,8801,101,4453.333333,10774.19355,556666.6667,149107.1429
Malvern East,401A Waverley Rd,4,h,1350000,VB,27/11/2016,11.2,3145,4,3,2,222,90,2010,Stonnington City Council,-37.878,145.0666,Southern Metropolitan,8801,11,6081.081081,15000,337500,120535.7143
Maribyrnong,66 Raleigh Rd,3,h,907000,S,27/11/2016,8.7,3032,3,1,2,678,124,1950,Maribyrnong City Council,-37.769,144.8935,Western Metropolitan,4918,71,1337.758112,7314.516129,302333.3333,104252.8736
Maribyrnong,110/44 Skyline Dr,2,u,570000,PI,27/11/2016,8.7,3032,2,2,1,3014,204,2012,Maribyrnong City Council,-37.7853,144.8944,Western Metropolitan,4918,9,189.1174519,2794.117647,285000,65517.24138
Middle Park,98 Harold St,2,h,1630000,SP,27/11/2016,4.1,3206,2,1,0,152,113,1915,Port Phillip City Council,-37.8513,144.9586,Southern Metropolitan,2019,106,10723.68421,14424.77876,815000,397560.9756
Moonee Ponds,1/21 Holmes Rd,2,u,574000,S,27/11/2016,6.9,3039,2,2,1,159,,,Moonee Valley City Council,-37.7666,144.9184,Western Metropolitan,6232, ,3610.062893, ,287000,83188.4058
Moonee Ponds,12/17 Moore St,2,u,470000,VB,27/11/2016,6.9,3039,2,1,1,0,65,2014,Moonee Valley City Council,-37.7677,144.92,Western Metropolitan,6232,7, ,7230.769231,235000,68115.94203
Moonee Ponds,1/263 Union Rd,3,t,1130000,S,27/11/2016,6.9,3039,3,2,2,217,145,2013,Moonee Valley City Council,-37.7704,144.9162,Western Metropolitan,6232,8,5207.373272,7793.103448,376666.6667,163768.1159
Newport,4/71 Challis St,2,u,670000,SP,27/11/2016,8.4,3015,2,1,1,190,,,Hobsons Bay City Council,-37.8433,144.8725,Western Metropolitan,5498, ,3526.315789, ,335000,79761.90476
Newport,12 Gordon St,3,h,1040000,S,27/11/2016,8.4,3015,3,1,2,595,,,Hobsons Bay City Council,-37.8394,144.8669,Western Metropolitan,5498, ,1747.89916, ,346666.6667,123809.5238
Newport,78A Oxford St,4,h,1316000,S,27/11/2016,8.4,3015,4,2,3,539,,2000,Hobsons Bay City Council,-37.8366,144.8773,Western Metropolitan,5498,21,2441.558442, ,329000,156666.6667
Newport,12 Severn St,2,h,816000,S,27/11/2016,8.4,3015,2,1,1,315,104,1930,Hobsons Bay City Council,-37.8465,144.8714,Western Metropolitan,5498,91,2590.47619,7846.153846,408000,97142.85714
Niddrie,20 Grandview Rd,4,h,1245000,PI,27/11/2016,11.2,3042,4,3,3,0,225,1950,Moonee Valley City Council,-37.7386,144.8902,Western Metropolitan,2291,71, ,5533.333333,311250,111160.7143
Niddrie,29 Jackson St,3,h,1155000,S,27/11/2016,11.2,3042,3,2,3,653,,,Moonee Valley City Council,-37.7396,144.8887,Western Metropolitan,2291, ,1768.759571, ,385000,103125
Niddrie,2/10 Nolan St,3,u,746000,S,27/11/2016,11.2,3042,3,1,1,256,,,Moonee Valley City Council,-37.741,144.8901,Western Metropolitan,2291, ,2914.0625, ,248666.6667,66607.14286
North Melbourne,1/109 Arden St,2,u,665500,S,27/11/2016,2.3,3051,2,2,1,0,96,2012,Melbourne City Council,-37.8009,144.9471,Northern Metropolitan,6821,9, ,6932.291667,332750,289347.8261
North Melbourne,14/7 Curran St,2,u,550055,SP,27/11/2016,2.3,3051,2,1,2,1004,65,1971,Melbourne City Council,-37.7926,144.9441,Northern Metropolitan,6821,50,547.8635458,8462.384615,275027.5,239154.3478
North Melbourne,11/368 Dryburgh St,1,u,358000,SP,27/11/2016,2.3,3051,1,1,1,649,43,1970,Melbourne City Council,-37.7971,144.9448,Northern Metropolitan,6821,51,551.6178737,8325.581395,358000,155652.1739
North Melbourne,103/171 Flemington Rd,1,u,320000,S,27/11/2016,2.3,3051,1,1,1,0,45,1975,Melbourne City Council,-37.7955,144.9492,Northern Metropolitan,6821,46, ,7111.111111,320000,139130.4348
North Melbourne,10 Munster Tce,3,t,1000000,VB,27/11/2016,2.3,3051,3,2,1,61,170,1920,Melbourne City Council,-37.8039,144.9424,Northern Metropolitan,6821,101,16393.44262,5882.352941,333333.3333,434782.6087
North Melbourne,203/150 Peel St,2,u,598000,S,27/11/2016,2.3,3051,2,1,1,0,85,2005,Melbourne City Council,-37.8044,144.9566,Northern Metropolitan,6821,16, ,7035.294118,299000,260000
Northcote,162 Bastings St,3,h,2160000,S,27/11/2016,5.5,3070,3,2,1,338,90,1920,Darebin City Council,-37.7757,145.0119,Northern Metropolitan,11364,101,6390.532544,24000,720000,392727.2727
Northcote,13 Vauxhall Rd,3,h,1610000,S,27/11/2016,5.5,3070,3,1,2,501,,,Darebin City Council,-37.7771,145.0116,Northern Metropolitan,11364, ,3213.572854, ,536666.6667,292727.2727
Northcote,13/200 Westgarth St,1,u,400000,VB,27/11/2016,5.5,3070,1,1,1,0,43,2014,Darebin City Council,-37.7831,145.0124,Northern Metropolitan,11364,7, ,9302.325581,400000,72727.27273
Oak Park,2/21 Gregory St,3,u,550000,PI,27/11/2016,11.5,3046,3,1,1,196,,,Moreland City Council,-37.7216,144.9157,Northern Metropolitan,2651, ,2806.122449, ,183333.3333,47826.08696
Parkville,12/228 The Avenue,1,u,500000,S,27/11/2016,2.6,3052,1,1,1,2431,,,Melbourne City Council,-37.7821,144.9576,Northern Metropolitan,2309, ,205.6766763, ,500000,192307.6923
Parkville,28/238 The Avenue,3,u,1403000,S,27/11/2016,2.6,3052,3,2,2,2401,132,1980,Melbourne City Council,-37.7818,144.9576,Northern Metropolitan,2309,41,584.3398584,10628.78788,467666.6667,539615.3846
Pascoe Vale,2/36 Alpine Gr,3,t,600000,VB,27/11/2016,9.9,3044,3,2,1,122,139,1998,Moreland City Council,-37.7231,144.9373,Northern Metropolitan,7485,23,4918.032787,4316.546763,200000,60606.06061
Pascoe Vale,63 Cornwall Rd,3,h,721000,S,27/11/2016,9.9,3044,3,1,2,542,,,Moreland City Council,-37.7189,144.9367,Northern Metropolitan,7485, ,1330.258303, ,240333.3333,72828.28283
Pascoe Vale,58 Cumberland Rd,2,h,720000,SP,27/11/2016,9.9,3044,2,1,1,428,,,Moreland City Council,-37.7333,144.9384,Northern Metropolitan,7485, ,1682.242991, ,360000,72727.27273
Pascoe Vale,73 Park St,4,h,910000,PI,27/11/2016,9.9,3044,4,2,0,934,,,Moreland City Council,-37.7232,144.923,Northern Metropolitan,7485, ,974.3040685, ,227500,91919.19192
Pascoe Vale,103 Sussex St,2,h,1570000,S,27/11/2016,9.9,3044,2,1,1,746,265,1950,Moreland City Council,-37.7304,144.9496,Northern Metropolitan,7485,71,2104.557641,5924.528302,785000,158585.8586
Port Melbourne,1001/107 Beach St,3,u,2460000,S,27/11/2016,3.8,3207,3,2,2,5042,102,1995,Melbourne City Council,-37.8405,144.9319,Southern Metropolitan,8648,26,487.9016263,24117.64706,820000,647368.4211
Port Melbourne,61/1 Graham St,1,u,540000,VB,27/11/2016,3.8,3207,1,1,1,0,,2000,Melbourne City Council,-37.8429,144.9449,Southern Metropolitan,8648,21, , ,540000,142105.2632
Port Melbourne,126 Heath St,3,h,3705000,S,27/11/2016,3.8,3207,3,2,2,214,241,2014,Melbourne City Council,-37.8341,144.9458,Southern Metropolitan,8648,7,17313.08411,15373.44398,1235000,975000
Port Melbourne,334 Howe Pde,2,h,1180000,S,27/11/2016,3.8,3207,2,1,1,347,,,Melbourne City Council,-37.8366,144.9225,Southern Metropolitan,8648, ,3400.576369, ,590000,310526.3158
Port Melbourne,137 Ingles St,3,t,950000,PI,27/11/2016,3.8,3207,3,2,2,0,134,2012,Melbourne City Council,-37.8317,144.9446,Southern Metropolitan,8648,9, ,7089.552239,316666.6667,250000
Port Melbourne,215 Princes St,3,h,1350000,S,27/11/2016,3.8,3207,3,1,1,114,138,1990,Melbourne City Council,-37.8371,144.939,Southern Metropolitan,8648,31,11842.10526,9782.608696,450000,355263.1579
Port Melbourne,350 Princes St,3,h,2100000,S,27/11/2016,3.8,3207,3,2,1,170,,,Melbourne City Council,-37.835,144.943,Southern Metropolitan,8648, ,12352.94118, ,700000,552631.5789
Port Melbourne,3/1 Seisman Pl,2,u,735000,S,27/11/2016,3.8,3207,2,1,1,0,100,2000,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648,21, ,7350,367500,193421.0526
Prahran,19 Chatsworth Rd,3,h,2385000,PI,27/11/2016,4.5,3181,3,2,2,217,,1900,Stonnington City Council,-37.8523,145.0064,Southern Metropolitan,7717,121,10990.78341, ,795000,530000
Prahran,5/327 Dandenong Rd,2,u,681000,S,27/11/2016,4.5,3181,2,2,1,0,95,1995,Stonnington City Council,-37.8598,145.0097,Southern Metropolitan,7717,26, ,7168.421053,340500,151333.3333
Prahran,37 Perth St,4,h,1820000,S,27/11/2016,4.5,3181,4,1,1,305,,1920,Stonnington City Council,-37.8493,144.9873,Southern Metropolitan,7717,101,5967.213115, ,455000,404444.4444
Prahran,84 York St,2,h,1305000,S,27/11/2016,4.5,3181,2,1,1,131,79,1900,Stonnington City Council,-37.8479,144.9988,Southern Metropolitan,7717,121,9961.832061,16518.98734,652500,290000
Preston,86 Cramer St,3,h,1150000,PI,27/11/2016,8.8,3072,3,1,4,728,,,Darebin City Council,-37.7392,144.9937,Northern Metropolitan,14577, ,1579.67033, ,383333.3333,130681.8182
Preston,33 Gordon Gr,4,h,871000,S,27/11/2016,8.8,3072,4,2,1,561,150,1950,Darebin City Council,-37.7369,145.0201,Northern Metropolitan,14577,71,1552.58467,5806.666667,217750,98977.27273
Preston,13 Grampian St,4,h,910000,PI,27/11/2016,8.8,3072,4,1,3,577,,,Darebin City Council,-37.7344,144.9865,Northern Metropolitan,14577, ,1577.12305, ,227500,103409.0909
Preston,11 Inverloch St,3,h,1330000,S,27/11/2016,8.8,3072,3,2,3,502,,,Darebin City Council,-37.7406,145.0155,Northern Metropolitan,14577, ,2649.40239, ,443333.3333,151136.3636
Preston,194 Miller St,4,h,950000,S,27/11/2016,8.8,3072,4,2,1,243,140,2005,Darebin City Council,-37.7506,144.9847,Northern Metropolitan,14577,16,3909.465021,6785.714286,237500,107954.5455
Preston,192 Murray Rd,3,h,821000,S,27/11/2016,8.8,3072,3,1,2,396,,,Darebin City Council,-37.7385,145.0103,Northern Metropolitan,14577, ,2073.232323, ,273666.6667,93295.45455
Preston,30 Okeefe St,3,h,888500,S,27/11/2016,8.8,3072,3,1,2,497,,,Darebin City Council,-37.7441,145.0154,Northern Metropolitan,14577, ,1787.726358, ,296166.6667,100965.9091
Preston,192 Wood St,4,h,870000,S,27/11/2016,8.8,3072,4,1,2,400,117,1890,Darebin City Council,-37.7346,145.0164,Northern Metropolitan,14577,131,2175,7435.897436,217500,98863.63636
Reservoir,15 Berwick St,3,h,751000,S,27/11/2016,11.2,3073,3,1,2,604,,1940,Darebin City Council,-37.723,145.0024,Northern Metropolitan,21650,81,1243.377483, ,250333.3333,67053.57143
Reservoir,10 Dumbarton St,3,h,851000,S,27/11/2016,11.2,3073,3,1,1,826,101,1960,Darebin City Council,-37.7013,145.0244,Northern Metropolitan,21650,61,1030.266344,8425.742574,283666.6667,75982.14286
Reservoir,657 Gilbert Rd,3,h,777000,S,27/11/2016,11.2,3073,3,1,2,480,,,Darebin City Council,-37.7265,144.9918,Northern Metropolitan,21650, ,1618.75, ,259000,69375
Reservoir,24 Home St,4,h,1162000,S,27/11/2016,11.2,3073,4,3,4,695,,,Darebin City Council,-37.7264,145.0198,Northern Metropolitan,21650, ,1671.942446, ,290500,103750
Reservoir,89 McMahon Rd,3,h,620000,SP,27/11/2016,11.2,3073,3,1,2,653,,,Darebin City Council,-37.7108,145.0156,Northern Metropolitan,21650, ,949.4640123, ,206666.6667,55357.14286
Reservoir,1 Mendip Rd,3,h,1025000,S,27/11/2016,11.2,3073,3,1,4,670,134,1935,Darebin City Council,-37.7242,145.0154,Northern Metropolitan,21650,86,1529.850746,7649.253731,341666.6667,91517.85714
Reservoir,72 Oconnor St,3,h,762500,S,27/11/2016,11.2,3073,3,1,2,677,,,Darebin City Council,-37.7101,144.9999,Northern Metropolitan,21650, ,1126.292467, ,254166.6667,68080.35714
Reservoir,40 Powell St,3,h,832000,S,27/11/2016,11.2,3073,3,1,2,496,,,Darebin City Council,-37.7263,145.0003,Northern Metropolitan,21650, ,1677.419355, ,277333.3333,74285.71429
Reservoir,17 Steane St,5,h,820000,SP,27/11/2016,11.2,3073,5,2,2,737,150,,Darebin City Council,-37.7306,145.0242,Northern Metropolitan,21650, ,1112.618725,5466.666667,164000,73214.28571
Richmond,5 Birch Sq,3,h,1350000,VB,27/11/2016,2.6,3121,3,2,2,133,174,2000,Yarra City Council,-37.8183,145.0079,Northern Metropolitan,14949,21,10150.37594,7758.62069,450000,519230.7692
Richmond,4 Burgess St,3,h,1405000,S,27/11/2016,2.6,3121,3,1,2,212,,,Yarra City Council,-37.8302,144.9993,Northern Metropolitan,14949, ,6627.358491, ,468333.3333,540384.6154
Richmond,601/10 Burnley St,1,u,362000,S,27/11/2016,2.6,3121,1,1,1,0,,,Yarra City Council,-37.8127,145.0094,Northern Metropolitan,14949, , , ,362000,139230.7692
Richmond,408/633 Church St,2,u,760000,S,27/11/2016,2.6,3121,2,1,1,0,,,Yarra City Council,-37.833,144.997,Northern Metropolitan,14949, , , ,380000,292307.6923
Richmond,5/10 Elaine Ct,2,u,807000,S,27/11/2016,2.6,3121,2,2,2,0,106,2000,Yarra City Council,-37.8128,145.0139,Northern Metropolitan,14949,21, ,7613.207547,403500,310384.6154
Richmond,1 Hodgson Tce,3,h,1495000,S,27/11/2016,2.6,3121,3,2,1,159,,,Yarra City Council,-37.8195,144.9974,Northern Metropolitan,14949, ,9402.515723, ,498333.3333,575000
Richmond,9 Hosie St,3,h,1410000,S,27/11/2016,2.6,3121,3,1,0,224,,,Yarra City Council,-37.8199,145.0017,Northern Metropolitan,14949, ,6294.642857, ,470000,542307.6923
Richmond,104/8 Howard St,1,u,385000,VB,27/11/2016,2.6,3121,1,1,1,0,50,2005,Yarra City Council,-37.8331,144.9975,Northern Metropolitan,14949,16, ,7700,385000,148076.9231
Richmond,52 Hunter St,2,h,1150000,SP,27/11/2016,2.6,3121,2,1,0,156,80,1900,Yarra City Council,-37.8209,145.0052,Northern Metropolitan,14949,121,7371.794872,14375,575000,442307.6923
Richmond,3 Longfield St,3,h,1400000,PI,27/11/2016,2.6,3121,3,1,2,0,,,Yarra City Council,-37.8211,145.0114,Northern Metropolitan,14949, , , ,466666.6667,538461.5385
Richmond,25 Palmer St,4,h,1775000,S,27/11/2016,2.6,3121,4,1,0,434,144,1900,Yarra City Council,-37.8185,145.0061,Northern Metropolitan,14949,121,4089.861751,12326.38889,443750,682692.3077
Richmond,4/199 Punt Rd,1,u,360000,S,27/11/2016,2.6,3121,1,1,1,1332,,,Yarra City Council,-37.8181,144.9901,Northern Metropolitan,14949, ,270.2702703, ,360000,138461.5385
Richmond,43 Type St,3,h,1270000,S,27/11/2016,2.6,3121,3,1,1,152,92,1910,Yarra City Council,-37.8219,145.0096,Northern Metropolitan,14949,111,8355.263158,13804.34783,423333.3333,488461.5385
South Melbourne,1107/50 Albert Rd,1,u,320000,VB,27/11/2016,2.1,3205,1,1,0,0,,,Port Phillip City Council,-37.8341,144.9713,Southern Metropolitan,5943, , , ,320000,152380.9524
South Melbourne,5/38 Bank St,3,u,742000,SP,27/11/2016,2.1,3205,3,2,2,0,90,2003,Port Phillip City Council,-37.8319,144.9682,Southern Metropolitan,5943,18, ,8244.444444,247333.3333,353333.3333
South Melbourne,164 Cecil St,3,h,2075000,S,27/11/2016,2.1,3205,3,2,0,141,163,1890,Port Phillip City Council,-37.8333,144.9576,Southern Metropolitan,5943,131,14716.31206,12730.06135,691666.6667,988095.2381
South Melbourne,52 Eastern Rd,3,h,2525000,S,27/11/2016,2.1,3205,3,2,1,234,,1863,Port Phillip City Council,-37.8355,144.9663,Southern Metropolitan,5943,158,10790.59829, ,841666.6667,1202380.952
South Yarra,6/16 Cromwell Rd,2,u,470000,VB,27/11/2016,3.3,3141,2,1,1,0,,1970,Melbourne City Council,-37.845,145.0001,Southern Metropolitan,14887,51, , ,235000,142424.2424
South Yarra,11/274 Domain Rd,2,u,621500,S,27/11/2016,3.3,3141,2,1,1,0,,,Melbourne City Council,-37.835,144.9905,Southern Metropolitan,14887, , , ,310750,188333.3333
South Yarra,7 Motherwell St,4,h,2667000,S,27/11/2016,3.3,3141,4,3,2,446,,1900,Melbourne City Council,-37.8454,144.9989,Southern Metropolitan,14887,121,5979.820628, ,666750,808181.8182
South Yarra,68 Oban St,3,h,2200000,PI,27/11/2016,3.3,3141,3,2,0,358,238,1915,Melbourne City Council,-37.8425,145.0031,Southern Metropolitan,14887,106,6145.251397,9243.697479,733333.3333,666666.6667
South Yarra,366 Toorak Rd,3,h,1700000,S,27/11/2016,3.3,3141,3,1,1,178,172,1894,Melbourne City Council,-37.8404,145.0022,Southern Metropolitan,14887,127,9550.561798,9883.72093,566666.6667,515151.5152
Spotswood,66 The Avenue,3,h,1070000,S,27/11/2016,7.7,3015,2,1,2,526,127,1950,Hobsons Bay City Council,-37.8267,144.8779,Western Metropolitan,1223,71,2034.220532,8425.19685,535000,138961.039
St Kilda,21/352 Canterbury Rd,2,u,500000,SP,27/11/2016,6.1,3182,2,2,2,0,104,2000,Port Phillip City Council,-37.859,144.9767,Southern Metropolitan,13240,21, ,4807.692308,250000,81967.21311
St Kilda,23/116 Inkerman St,1,u,220000,PI,27/11/2016,6.1,3182,,,,,,,Port Phillip City Council,-37.8646,144.9871,Southern Metropolitan,13240, , , ,#DIV/0!,36065.57377
St Kilda,4/22 Inkerman St,1,u,400000,VB,27/11/2016,6.1,3182,,,,,,,Port Phillip City Council,-37.864,144.9826,Southern Metropolitan,13240, , , ,#DIV/0!,65573.77049
St Kilda,33 Marine Pde,4,h,4750000,PI,27/11/2016,6.1,3182,4,3,5,648,,,Port Phillip City Council,-37.8724,144.9767,Southern Metropolitan,13240, ,7330.246914, ,1187500,778688.5246
St Kilda,4/25 Octavia St,2,u,888000,S,27/11/2016,6.1,3182,,,,,,,Port Phillip City Council,-37.8581,144.9854,Southern Metropolitan,13240, , , ,#DIV/0!,145573.7705
St Kilda,4/51 Spenser St,2,u,760000,S,27/11/2016,6.1,3182,2,1,0,0,95,1930,Port Phillip City Council,-37.8718,144.9776,Southern Metropolitan,13240,91, ,8000,380000,124590.1639
St Kilda,18/170 St Kilda Rd,3,u,720000,SP,27/11/2016,6.1,3182,3,1,1,0,,,Port Phillip City Council,-37.8612,144.985,Southern Metropolitan,13240, , , ,240000,118032.7869
St Kilda,13/62 Wellington St,1,u,461000,SP,27/11/2016,6.1,3182,1,1,1,0,,,Port Phillip City Council,-37.8571,144.987,Southern Metropolitan,13240, , , ,461000,75573.77049
St Kilda,5/69 Wellington St,2,u,580000,PI,27/11/2016,6.1,3182,2,1,1,1155,102,1995,Port Phillip City Council,-37.8568,144.9873,Southern Metropolitan,13240,26,502.1645022,5686.27451,290000,95081.96721
Sunshine,68 Chapman St,4,h,895000,S,27/11/2016,12.6,3020,4,2,3,430,144,1945,Brimbank City Council,-37.7939,144.8283,Western Metropolitan,3755,76,2081.395349,6215.277778,223750,71031.74603
Sunshine,7 Donald St,3,h,762500,S,27/11/2016,12.6,3020,3,1,1,510,,,Brimbank City Council,-37.7903,144.8387,Western Metropolitan,3755, ,1495.098039, ,254166.6667,60515.87302
Sunshine,11 Taunton St,2,h,702000,SP,27/11/2016,12.6,3020,2,1,0,611,,,Brimbank City Council,-37.783,144.8405,Western Metropolitan,3755, ,1148.93617, ,351000,55714.28571
Sunshine West,22 Bambara Ct,4,h,705000,S,27/11/2016,13.5,3020,4,2,4,759,198,1975,Brimbank City Council,-37.7951,144.8213,Western Metropolitan,6763,46,928.8537549,3560.606061,176250,52222.22222
Sunshine West,3 Corella Rd,3,h,486000,S,27/11/2016,13.5,3020,3,1,2,539,,,Brimbank City Council,-37.7963,144.8046,Western Metropolitan,6763, ,901.6697588, ,162000,36000
Sunshine West,111 Hall St,4,h,645000,VB,27/11/2016,13.5,3020,4,2,3,616,215,1970,Brimbank City Council,-37.7904,144.7999,Western Metropolitan,6763,51,1047.077922,3000,161250,47777.77778
Sunshine West,43 Talintyre Rd,3,h,530000,S,27/11/2016,13.5,3020,3,1,1,623,,,Brimbank City Council,-37.8004,144.8138,Western Metropolitan,6763, ,850.7223114, ,176666.6667,39259.25926
Sunshine West,57 Warmington Rd,3,h,500000,SP,27/11/2016,13.5,3020,3,1,2,627,109,1970,Brimbank City Council,-37.8023,144.8227,Western Metropolitan,6763,51,797.4481659,4587.155963,166666.6667,37037.03704
Templestowe Lower,4 Caroline Dr,3,h,1220000,SP,27/11/2016,13.8,3107,3,1,2,720,133,1960,Manningham City Council,-37.7668,145.1086,Eastern Metropolitan,5420,61,1694.444444,9172.932331,406666.6667,88405.7971
Templestowe Lower,6 Exeter Cl,4,h,1222000,S,27/11/2016,13.8,3107,4,2,4,732,,,Manningham City Council,-37.7704,145.1247,Eastern Metropolitan,5420, ,1669.398907, ,305500,88550.72464
Templestowe Lower,205 High St,3,h,2025000,S,27/11/2016,13.8,3107,3,1,2,796,,,Manningham City Council,-37.7726,145.1149,Eastern Metropolitan,5420, ,2543.969849, ,675000,146739.1304
